Ranking,Pontos,Nome,Clube,Rating,Categoria
6,986,ISABELLA MARQUES,NIKKEI CURITIBA - PR,E,F
7,981,LUANA SAITO,ITAIM KEIKO / JJYAMADA - SP,E,F
8,979,YOOKO KONNO,SAMA ASSAÍ - PR,E,F
8,979,RAQUEL MOREIRA,ASSOC. DE TÊNIS DE MESA - GÊMEOS TT - SC,E,F
10,978,YARA BATISTI,ASSOC. DOS MESATENISTAS DE FLORIANOPOLIS-SC,E,F
11,976,MARIA FERNANDA TAMURA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,E,F
12,972,MICHELE NOGUEIRA,FLUMINENSE FOOTBALL CLUB - RJ,E,F
12,972,LARISSA LOBATO,ADM - MARÍLIA - SP,E,F
14,970,MARCIA CURY,ASSOC. NOVA ERA DE T.M.-SP,E,F
15,969,RAIZA SILVA,SÃO BERNARDO / ASA / PALMEIRAS - SP,E,F
16,966,INAJARA ALBUQUERQUE,ESTRELA DE OURO - SP,E,F
17,963,MARIA CHIQUETTO,ASMUC - CARAGUATATUBA - SP,E,F
18,962,LÍVIA DIAS,OCIAN PRAIA CLUBE - SP,E,F
19,961,FRANCISCA FERREIRA,PROJETO FACA DO DEFICIENTE UM ATLETA-PFDA/CE,E,F
20,959,VIVIANE NAKASATO,ASSOCIAÇÃO SÃO JOSÉ DOS PINHAIS - PR,E,F
21,958,FABIANA ALBUQUERQUE,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,E,F
22,955,SUSAN TURUDA,ASSOC.MESATENISTAS AGROPODAS-PE,E,F
23,954,THAYANNA MOREIRA,ASSOCIAÇÃO FITPONG DE TÊNIS DE MESA-DF,E,F
24,951,MARIANA KACHIWAZAKI,ITAIM KEIKO / JJYAMADA - SP,E,F
25,950,LETICIA VECHIA,ASSOCIAÇÃO BELTRONENSE DE TÊNIS DE MESA-PR,E,F
25,950,PRISCILA HASEGAWA,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,E,F
27,949,GABRIELLA ZAGO,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,E,F
28,948,VIVIAN SAKAY,ACEI ITAPEVI - SP,E,F
29,947,GLAUCIA SAKAKIMA,YARA TOLEDO - PR,E,F
29,947,TATIANA SEKI,NIPO CAMPO MOURÃO - PR,E,F
31,945,GIANI SOARES,OCIAN PRAIA CLUBE - SP,E,F
32,942,FRANCIS PAMPLONA,PARÁ CLUBE - PA,E,F
33,940,JULIA HATAKEYAMA,AABB CUIABÁ - MT,E,F
34,938,ABIGAIL ARAUJO,PRÓ TÊNIS DE MESA DE JOAÇABA - SC,E,F
35,936,HILDA COSTA,ACADEMIA CEARENSE - CE,E,F
36,933,VIVIANE WANG,ACADEMIA BAIANA - BA,E,F
37,932,MARIA MAGAGNIN,SR MAMPITUBA/FME CRICIÚMA-SC,E,F
37,932,NAÍLA SANTOS,ASSOC.DOS DEF.MOTORES DO CEARÁ - ADM,E,F
